State,Incarceration rate per 100000,Incarceration rate: White alone,Incarceration rate: Black or African American alone,Incarceration rate: American Indian and Alaska Native alone,Incarceration rate: Asian alone,Incarceration rate: Native Hawaiian and other Pacific Islander alone,Incarceration rate: Some other race alone,Incarceration rate: Two or more races,Incarceration rate: Hispanic or Latino,"Incarceration rate: White alone, not Hispanic or Latino"
AL,861.4910949,552.2083755,1788.284447,283.5069814,106.3532046,98.13542689,292.023527,407.0118314,766.6943244,535.326092
AK,592.2016921,382.6207409,1293.900185,1505.659334,115.3795726,661.3578081,279.2289678,751.8072289,649.6980815,369.849776
AZ,1060.181786,774.7817123,3183.685446,2267.231873,642.9157588,8135.673624,1690.393795,731.5620705,1452.867294,633.3667691
AR,886.3075025,616.5963472,2432.345325,750.62927,318.541909,170.5611462,555.3825913,371.8645852,915.3453373,592.8771011
CA,689.3415561,605.9960844,3036.268547,996.4140121,94.42487945,617.7884282,703.8844633,188.7754877,756.6799363,453.449136
CO,806.6498104,701.1881536,3650.792864,2938.760936,275.4840752,739.8459912,502.5539628,360.6717076,1280.077636,509.4306879
CT,561.2326694,256.3834354,2259.754455,764.0369581,92.20669052,3431.372549,2140.920863,275.1521429,1195.190018,241.1770666
DE,719.0951674,408.8151473,2001.939379,143.5063382,28.02199727,1000,150.7257774,100.6120567,249.9282993,414.314736
DC,597.9495549,88.13199062,1031.052847,1010.10101,109.2325228,331.1258278,406.1705096,600.6006006,526.0370052,50.12794561
FL,890.6453859,610.7875152,2554.784187,590.5566906,98.72015584,293.0164415,353.5228968,279.5311663,536.0094663,626.0242568
GA,1073.655301,681.3720747,2036.242113,581.6304314,120.5213902,603.0298573,808.4922545,360.9829919,1098.995067,639.6658983
HI,417.0400522,415.0339128,1031.553398,624.3996158,230.0610576,1614.95178,1036.208419,142.8442218,414.5909535,412.163844
ID,719.2606192,700.6867948,3251.783894,1762.977473,157.3234045,906.3444109,684.07882,508.5398741,1025.576887,655.5780354
IL,552.0226907,283.0175214,2128.25236,821.1450538,42.59422695,345.6790123,472.828333,149.3196129,472.0903462,258.0146584
IN,751.0099784,563.5795495,2814.353133,888.3111256,75.14101138,553.6626917,434.4715372,177.4810205,781.3562497,542.1215322
IA,436.8827665,343.7278564,3472.876565,2273.547456,175.1610351,698.9515726,260.1011901,275.6267227,691.5483292,323.6061446
KS,631.2041773,475.7336126,3305.652195,1197.158082,231.6932794,312.7792672,319.6309715,269.9777734,872.5445104,417.612066
KY,947.6497379,730.6137202,3545.271391,2490.118577,237.0733701,559.7760896,874.8717395,604.988831,1656.93035,705.2972044
LA,1341.253266,703.3021742,2748.492835,487.2625004,171.1059146,509.4243505,521.4728357,408.8744975,1113.938513,674.9097951
ME,276.957845,261.2708117,1553.447507,746.9654528,147.3730749,584.7953216,469.3733865,114.6077074,407.4402126,259.3484637
MD,620.623145,320.6933382,1436.865773,210.5778648,32.93053539,253.4051315,148.4296434,100.1772834,310.6461099,309.5671317
MA,376.9761543,310.6603389,1502.308942,981.4323607,64.3283548,719.7480882,387.349214,111.62596,927.5811195,241.0327395
MI,628.1390257,388.3190314,2168.510714,924.0892157,89.42103031,268.8172043,170.7146209,161.0809356,588.2784319,373.754663
MN,384.5642614,250.5491746,2320.598225,2646.266991,208.183575,881.2615955,293.2038835,251.7080187,959.409889,215.7705699
MS,1155.024253,725.0308318,1787.533515,1031.270792,703.1310698,1347.935973,2489.387349,1803.148914,4868.619678,599.783892
MO,700.5595493,503.9959506,2336.632578,686.7329047,43.84042087,543.0442421,328.1255826,187.014905,653.7393514,494.9752079
MT,539.510721,425.5554765,3600.695307,1911.917513,207.9002079,0,2510.460251,272.2613709,994.2237003,423.4263689
NE,442.6336593,342.9469532,2451.589552,1779.996744,157.9289629,156.3721658,250.2875779,199.9493799,867.3576058,281.7797331
NV,736.5533923,672.4733138,2623.658668,1328.675691,212.3457295,260.8025606,284.4888898,262.5421376,635.4492178,604.2072908
NH,368.4854193,346.9115327,2241.436648,1142.857143,84.48621819,520.8333333,795.8879125,318.0245066,953.5745423,335.7063495
NJ,505.7840779,274.710876,1991.905885,726.9344725,50.98342901,1577.390733,451.2954645,312.5221075,608.9468242,218.2984914
NM,869.6184256,901.641906,2608.695652,1045.429609,202.0703347,441.9889503,565.9588399,353.200883,980.1731272,658.9031074
NY,491.823193,266.2119866,1654.596916,709.0341047,56.1171179,627.4241387,585.1287804,82.61514486,607.359489,219.3334947
NC,646.8471497,376.7527704,1664.479837,882.8105806,105.2823001,272.5620836,316.4021931,173.1337203,490.6763985,356.7965591
ND,370.0614489,253.365684,1670.854271,1984.094449,43.42162397,1562.5,1624.394414,261.5371636,1032.152669,244.8131878
OH,663.8926316,436.8601627,2335.543351,703.7798513,135.7727341,319.724545,833.6537722,211.5534246,1071.970316,421.9990399
OK,1081.26379,888.636032,3796.228264,1059.104036,261.2330199,823.9871824,974.0364875,384.5093778,1876.165262,767.3039445
OR,579.5502775,543.1855443,3194.809699,1315.715279,242.1016119,455.0880334,544.8992059,253.524824,808.9996489,505.8805369
PA,770.0919647,398.086234,3268.51706,1031.926387,152.1106426,629.6194908,3194.532582,385.9818782,2000.805936,374.5547642
RI,359.4070496,231.6573479,1884.065195,445.6916474,151.0326033,0,879.770003,89.11374939,696.4907581,209.659257
SC,900.4480512,465.2614379,1996.0734,1055.111657,152.4106281,665.1884701,944.7930621,329.0173266,1205.437836,432.8088189
SD,777.1008868,530.1747804,4663.466249,2578.776613,433.6399474,1776.649746,1711.916544,711.6819997,1727.022017,507.6127408
